qty,n_trades,total_qty,vol_share
140.94,2,281.88,0.0016748881800601099
281.23694,1,281.23694,0.0016710672151350728
277.80299,1,277.80299,0.001650663205393632
275.97672,1,275.97672,0.0016398117862202303
275.16832,1,275.16832,0.0016350083961082656
273.7504,1,273.7504,0.0016265833306610157
269.51126,1,269.51126,0.0016013950041404395
269.49293,1,269.49293,0.0016012860900623195
268.924,1,268.924,0.001597905594346832
267.31377,1,267.31377,0.0015883378520657966
267.003,1,267.003,0.0015864913038902708
266.39944,1,266.39944,0.0015829050419704572
266.07226,1,266.07226,0.0015809609880654194
265.46724,1,265.46724,0.0015773660510471847
265.437,1,265.437,0.0015771863695566036
264.654,1,264.654,0.0015725339023897698
264.20287,1,264.20287,0.0015698533563961894
264.10736,1,264.10736,0.0015692858504714074
262.83744,1,262.83744,0.0015617401785627159
261.73234,1,261.73234,0.0015551738420798706
261.04371,1,261.04371,0.0015510821071308325
260.5824,1,260.5824,0.001548341073122235
259.20432,1,259.20432,0.0015401527309086077
258.53141,1,258.53141,0.0015361544018138006
257.19984,1,257.19984,0.0015282424149615137
255.23352,1,255.23352,0.00151655883994301
255.07669,1,255.07669,0.0015156269798845498
253.2222,1,253.2222,0.0015046078817539986
253.0656,1,253.0656,0.0015036773883206319
252.23562,1,252.23562,0.0014987457731237884
252.18864,1,252.18864,0.0014984666250937783
251.12059,1,251.12059,0.0014921204340879843
251.1081,1,251.1081,0.001492046220403548
250.90346,1,250.90346,0.0014908302805810437
250.76605,1,250.76605,0.001490013811215278
62.64,4,250.56,0.0014887894933867643
248.994,1,248.994,0.001479484559053097
248.25516,1,248.25516,0.001475094483904255
248.02442,1,248.02442,0.0014737234618428562
245.079,1,245.079,0.0014562222232189289
244.296,1,244.296,0.0014515697560520953
243.76964,1,243.76964,0.0014484422048159082
243.43407,1,243.43407,0.0014464482988041912
241.164,1,241.164,0.0014329598873847607
240.75991,1,240.75991,0.001430558845932084
240.02754,1,240.02754,0.0014262072145413127
238.72134,1,238.72134,0.0014184459723787098
238.16266,1,238.16266,0.0014151263806076158
234.9,1,234.9,0.0013957401500500916
234.6651,1,234.6651,0.0013943444099000415
234.117,1,234.117,0.0013910876828832578
234.0387,1,234.0387,0.0013906224361665746
233.334,1,233.334,0.0013864352157164244
233.14608,1,233.14608,0.0013853186235963843
232.42676,1,232.42676,0.0013810445333250602
230.70356,1,230.70356,0.0013708055404490862
230.4369,1,230.4369,0.00136922108719914
229.22396,1,229.22396,0.0013620139818027936
227.853,1,227.853,0.001353867945548589
227.68697,1,227.68697,0.0013528814204863803
227.07,1,227.07,0.0013492154783817552
225.82924,1,225.82924,0.0013418430707675527
225.62928,1,225.62928,0.0013406549387947812
112.752,2,225.504,0.001339910544048088
225.18479,1,225.18479,0.001338013846673471
224.08302,1,224.08302,0.0013314672965452435
223.58195,1,223.58195,0.0013284900146508815
222.65043,1,222.65043,0.001322955064184408
222.25352,1,222.25352,0.001320596685202048
221.7456,1,221.7456,0.0013175787016472865
221.0276,1,221.0276,0.0013133124546156306
220.47341,1,220.47341,0.001310019541743105
217.12351,1,217.12351,0.00129011494434569
217.11819,1,217.11819,0.0012900833337130878
216.8445,1,216.8445,0.00128845710927006
216.22176,1,216.22176,0.0012847568827011276
216.01079,1,216.01079,0.0012835033309793052
215.7948,1,215.7948,0.0012822199511793508
215.62798,1,215.62798,0.0012812287320570377
215.28468,1,215.28468,0.0012791888955584758
215.10576,1,215.10576,0.0012781257800725373
214.3071,1,214.3071,0.0012733802635623668
212.976,1,212.976,0.0012654710693787497
212.10752,1,212.10752,0.001260310693024916
